team,as_of,value_eur
Tanzania,2022-11-01,3800000
Tanzania,2026-06-01,2750000
Thailand,2010-06-01,100000
Thailand,2014-06-01,425000
Thailand,2018-06-01,1400000
Thailand,2022-11-01,2575000
Thailand,2026-06-01,1200000
Togo,2006-06-01,12500000
Togo,2010-06-01,35150000
Togo,2014-06-01,24800000
Togo,2018-06-01,40500000
Togo,2022-11-01,37875000
Togo,2026-06-01,24360000
Trinidad and Tobago,2006-06-01,1050000
Trinidad and Tobago,2010-06-01,12745000
Trinidad and Tobago,2014-06-01,7950000
Trinidad and Tobago,2018-06-01,3350000
Trinidad and Tobago,2022-11-01,5600000
Trinidad and Tobago,2026-06-01,10200000
Tunisia,2006-06-01,9425000
Tunisia,2010-06-01,39900000
Tunisia,2014-06-01,47050000
Tunisia,2018-06-01,60600000
Tunisia,2022-11-01,71250000
Tunisia,2026-06-01,44600000
Turkey,2006-06-01,99800000
Turkey,2010-06-01,167300000
Turkey,2014-06-01,204000000
Turkey,2018-06-01,196000000
Turkey,2022-11-01,347800000
Turkey,2026-06-01,434500000
Turkmenistan,2014-06-01,200000
Turkmenistan,2022-11-01,100000
Uganda,2010-06-01,1000000
Uganda,2014-06-01,2325000
Uganda,2018-06-01,6175000
Uganda,2022-11-01,6075000
Uganda,2026-06-01,625000
Ukraine,2006-06-01,32600000
Ukraine,2010-06-01,107100000
Ukraine,2014-06-01,143500000
Ukraine,2018-06-01,132600000
Ukraine,2022-11-01,244200000
Ukraine,2026-06-01,368500000
United Arab Emirates,2018-06-01,200000
United Arab Emirates,2022-11-01,100000
United Arab Emirates,2026-06-01,50000
United States,2006-06-01,19200000
United States,2010-06-01,57750000
United States,2014-06-01,69400000
United States,2018-06-01,120750000
United States,2022-11-01,332000000
United States,2026-06-01,420500000
Uruguay,2006-06-01,17500000
Uruguay,2010-06-01,142500000
Uruguay,2014-06-01,245300000
Uruguay,2018-06-01,405000000
Uruguay,2022-11-01,463500000
Uruguay,2026-06-01,450300000
Uzbekistan,2006-06-01,2800000
Uzbekistan,2010-06-01,4050000
Uzbekistan,2014-06-01,11350000
Uzbekistan,2018-06-01,17800000
Uzbekistan,2022-11-01,22450000
Uzbekistan,2026-06-01,55800000
Venezuela,2006-06-01,2100000
Venezuela,2010-06-01,32250000
Venezuela,2014-06-01,51600000
Venezuela,2018-06-01,56850000
Venezuela,2022-11-01,58150000
Venezuela,2026-06-01,48850000
Vietnam,2018-06-01,25000
Vietnam,2022-11-01,550000
Wales,2006-06-01,28650000
Wales,2010-06-01,66450000
Wales,2014-06-01,167900000
Wales,2018-06-01,258500000
Wales,2022-11-01,188700000
Wales,2026-06-01,64725000
Zambia,2006-06-01,300000
Zambia,2010-06-01,2600000
Zambia,2014-06-01,7100000
Zambia,2018-06-01,6875000
Zambia,2022-11-01,51750000
Zambia,2026-06-01,7850000
Zimbabwe,2010-06-01,2725000
Zimbabwe,2014-06-01,3850000
Zimbabwe,2018-06-01,16825000
Zimbabwe,2022-11-01,26900000
Zimbabwe,2026-06-01,19500000
